taxon,Accession	
hepatitis C virus genotype 1a_EU781814,EU781814	
hepatitis C virus genotype 1a_EU781815,EU781815	
hepatitis C virus genotype 1a_EU781816,EU781816	
hepatitis C virus genotype 1a_EU781817,EU781817	
hepatitis C virus genotype 1a_EU781818,EU781818	
hepatitis C virus genotype 1a_EU781819,EU781819	
hepatitis C virus genotype 1a_EU781820,EU781820	
hepatitis C virus genotype 1a_EU781821,EU781821	
hepatitis C virus genotype 1a_EU781822,EU781822	
hepatitis C virus genotype 1a_EU781823,EU781823	
hepatitis C virus genotype 1a_EU781824,EU781824	
Hepatitis C virus subtype 1b_EU781825,EU781825	
Hepatitis C virus subtype 1b_EU781826,EU781826	
Hepatitis C virus subtype 1b_EU781827,EU781827	
Hepatitis C virus subtype 1b_EU781828,EU781828	
Hepatitis C virus subtype 1b_EU781829,EU781829	
Hepatitis C virus subtype 1b_EU781830,EU781830	
Hepatitis C virus subtype 1b_EU781831,EU781831	
Hepatitis C virus subtype 1b_EU781832,EU781832	
Hepacivirus hominis_FJ435090,FJ435090	
Hepatitis C virus subtype 1b_AB442219,AB442219	
Hepatitis C virus subtype 1b_AB442220,AB442220	
Hepatitis C virus subtype 1b_AB442221,AB442221	
Hepatitis C virus subtype 1b_AB442222,AB442222	
Hepatitis C virus subtype 1b_FJ478453,FJ478453	
hepatitis C virus genotype 1a_FJ390394,FJ390394	
hepatitis C virus genotype 1a_FJ390395,FJ390395	
Hepatitis C virus subtype 1b_FJ390396,FJ390396	
Hepatitis C virus subtype 1b_FJ390397,FJ390397	
Hepatitis C virus subtype 1b_FJ390398,FJ390398	
hepatitis C virus genotype 1a_FJ390399,FJ390399	
hepatitis C virus genotype 1a_FJ410172,FJ410172	
hepatitis C virus genotype 1a_EU862823,EU862823	
hepatitis C virus genotype 1a_FJ181999,FJ181999	
hepatitis C virus genotype 1a_FJ182000,FJ182000	
hepatitis C virus genotype 1a_FJ182001,FJ182001	
hepatitis C virus genotype 1a_FJ205867,FJ205867	
hepatitis C virus genotype 1a_FJ205868,FJ205868	
hepatitis C virus genotype 1a_FJ205869,FJ205869	
Hepatitis C virus subtype 1b_FJ024086,FJ024086	
hepatitis C virus genotype 1a_FJ024087,FJ024087	
hepatitis C virus genotype 1a_FJ024274,FJ024274	
hepatitis C virus genotype 1a_FJ024275,FJ024275	
hepatitis C virus genotype 1a_FJ024276,FJ024276	
Hepatitis C virus subtype 1b_FJ024277,FJ024277	
hepatitis C virus genotype 1a_FJ024278,FJ024278	
Hepatitis C virus subtype 1b_FJ024279,FJ024279	
hepatitis C virus genotype 1a_FJ024280,FJ024280	
hepatitis C virus genotype 1a_FJ024281,FJ024281	
hepatitis C virus genotype 1a_FJ024282,FJ024282	
Hepatitis C virus subtype 1b_EU857431,EU857431	
Hepatitis C virus subtype 1b_EU255961,EU255961	
Hepatitis C virus subtype 1b_EU255962,EU255962	
hepatitis C virus genotype 1a_EU255963,EU255963	
hepatitis C virus genotype 1a_EU255964,EU255964	
hepatitis C virus genotype 1a_EU255965,EU255965	
hepatitis C virus genotype 1a_EU255966,EU255966	
hepatitis C virus genotype 1a_EU255967,EU255967	
hepatitis C virus genotype 1a_EU255968,EU255968	
hepatitis C virus genotype 1a_EU255969,EU255969	
hepatitis C virus genotype 1a_EU255970,EU255970	
hepatitis C virus genotype 1a_EU255973,EU255973	
hepatitis C virus genotype 1a_EU255974,EU255974	
hepatitis C virus genotype 1a_EU255975,EU255975	
hepatitis C virus genotype 1a_EU255976,EU255976	
hepatitis C virus genotype 1a_EU255977,EU255977	
hepatitis C virus genotype 1a_EU255978,EU255978	
hepatitis C virus genotype 1a_EU255979,EU255979	
hepatitis C virus genotype 1a_EU255980,EU255980	
hepatitis C virus genotype 1a_EU255981,EU255981	
hepatitis C virus genotype 1a_EU255982,EU255982	
hepatitis C virus genotype 1a_EU255983,EU255983	
hepatitis C virus genotype 1a_EU255984,EU255984	
hepatitis C virus genotype 1a_EU255985,EU255985	
hepatitis C virus genotype 1a_EU255986,EU255986	
hepatitis C virus genotype 1a_EU255987,EU255987	
hepatitis C virus genotype 1a_EU255988,EU255988	
hepatitis C virus genotype 1a_EU255989,EU255989	
hepatitis C virus genotype 1a_EU255990,EU255990	
hepatitis C virus genotype 1a_EU255991,EU255991	
hepatitis C virus genotype 1a_EU255992,EU255992	
hepatitis C virus genotype 1a_EU255993,EU255993	
hepatitis C virus genotype 1a_EU255994,EU255994	
hepatitis C virus genotype 1a_EU255995,EU255995	
hepatitis C virus genotype 1a_EU255996,EU255996	
hepatitis C virus genotype 1a_EU255997,EU255997	
hepatitis C virus genotype 1a_EU255998,EU255998	
hepatitis C virus genotype 1a_EU255999,EU255999	
Hepatitis C virus subtype 1b_EU256000,EU256000	
Hepatitis C virus subtype 1b_EU256001,EU256001	
hepatitis C virus genotype 1a_EU256002,EU256002	
hepatitis C virus genotype 1a_EU256003,EU256003	
hepatitis C virus genotype 1a_EU256004,EU256004	
hepatitis C virus genotype 1a_EU256005,EU256005	
hepatitis C virus genotype 1a_EU256006,EU256006	
hepatitis C virus genotype 1a_EU256007,EU256007	
hepatitis C virus genotype 1a_EU256008,EU256008	
hepatitis C virus genotype 1a_EU256009,EU256009	
hepatitis C virus genotype 1a_EU256010,EU256010	
hepatitis C virus genotype 1a_EU256011,EU256011	
hepatitis C virus genotype 1a_EU256012,EU256012	
hepatitis C virus genotype 1a_EU256013,EU256013	
hepatitis C virus genotype 1a_EU256014,EU256014	
hepatitis C virus genotype 1a_EU256015,EU256015	
hepatitis C virus genotype 1a_EU256017,EU256017	
hepatitis C virus genotype 1a_EU256018,EU256018	
hepatitis C virus genotype 1a_EU256019,EU256019	
hepatitis C virus genotype 1a_EU256020,EU256020	
hepatitis C virus genotype 1a_EU256021,EU256021	
hepatitis C virus genotype 1a_EU256022,EU256022	
hepatitis C virus genotype 1a_EU256023,EU256023	
hepatitis C virus genotype 1a_EU256024,EU256024	
hepatitis C virus genotype 1a_EU256025,EU256025	
hepatitis C virus genotype 1a_EU256026,EU256026	
hepatitis C virus genotype 1a_EU256027,EU256027	
hepatitis C virus genotype 1a_EU256028,EU256028	
hepatitis C virus genotype 1a_EU256029,EU256029	
hepatitis C virus genotype 1a_EU256030,EU256030	
hepatitis C virus genotype 1a_EU256031,EU256031	
hepatitis C virus genotype 1a_EU256032,EU256032	
hepatitis C virus genotype 1a_EU256033,EU256033	
hepatitis C virus genotype 1a_EU256034,EU256034	
hepatitis C virus genotype 1a_EU256035,EU256035	
hepatitis C virus genotype 1a_EU256036,EU256036	
hepatitis C virus genotype 1a_EU256037,EU256037	
hepatitis C virus genotype 1a_EU256038,EU256038	
hepatitis C virus genotype 1a_EU256039,EU256039	
hepatitis C virus genotype 1a_EU256040,EU256040	
